price,latitude,longitude,num_bathrooms,num_bedrooms,num_floors,property_type,tenure
1120000,51.541557,-0.068739,3,3,0,terraced house,freehold
535000,55.03935,-7.32775,1,1,0,flat,leasehold
150000,51.469574,-0.449607,0,0,0,land,freehold
535000,55.03935,-7.32775,1,1,0,flat,leasehold
110000,51.72572,-0.300269,1,3,0,terraced house,freehold
475000,51.72379,-0.303631,1,3,0,semi-detached house,freehold
210000,51.719925,-0.284241,1,1,0,flat,leasehold
220000,51.725124,-0.296903,1,1,0,flat,leasehold
250000,51.71989,-0.293933,1,3,0,terraced house,freehold
185000,51.718414,-0.282033,1,2,0,flat,leasehold
515000,51.71871,-0.287593,1,3,0,semi-detached house,freehold
440000,51.72555,-0.306295,1,3,0,terraced house,freehold
425000,51.71978,-0.295502,2,3,0,terraced house,freehold
264995,51.72398,-0.31175,2,2,0,flat,leasehold
550000,51.72283,-0.305023,1,3,0,terraced house,freehold
525000,51.72045,-0.290854,0,3,0,semi-detached house,freehold
440000,51.72307,-0.294608,2,5,0,semi-detached house,freehold
637500,51.723274,-0.317564,2,4,0,detached house,freehold
221000,51.727757,-0.293133,1,1,0,end terrace house,freehold
700000,51.7301,-0.30485,2,4,0,detached house,freehold
340000,51.72421,-0.303972,1,2,0,terraced house,freehold
570000,52.461575,-1.946191,0,4,0,terraced house,freehold
239950,52.487103,-1.896915,1,1,0,flat,leasehold
350000,52.487103,-1.896915,2,2,0,flat,leasehold
234000,52.48368,-1.892505,1,1,0,flat,leasehold
286995,52.48368,-1.892505,2,2,0,flat,leasehold
280000,52.48368,-1.892505,2,2,0,flat,leasehold
355500,52.48789,-1.894793,2,2,0,flat,leasehold
241000,52.48789,-1.894793,1,1,0,flat,leasehold
234995,52.48789,-1.894793,1,1,0,flat,leasehold
260000,52.48789,-1.894793,1,1,0,flat,leasehold
227500,52.487103,-1.896915,1,1,0,flat,leasehold
20000,52.48368,-1.892505,0,0,0,parking/garage,leasehold
0,52.48789,-1.894793,1,1,0,flat,leasehold
172000,52.58516,-1.874266,1,2,0,flat,leasehold
155000,52.58937,-1.839566,1,2,0,flat,leasehold
335000,52.596127,-1.855074,2,4,0,detached house,freehold
181950,52.580334,-1.898037,1,3,0,semi-detached house,freehold
140000,52.587765,-1.841921,0,2,0,flat,leasehold
